AHBA_acro,ROI,Full_name,structureOrder, PV_M_mean , PV_M_SD , PV_F_mean , PV_F_SD , SST_M_mean , SST_M_SD , SST_F_mean , SST_F_SD , VIP_M_mean , VIP_M_SD , VIP_F_mean , VIP_F_SD , SSTCR_mean , SSTCR_SD , SSTnNOS_mean , SSTnNOS_SD , VIPCR_mean , VIPCR_SD , VIPCCK_mean , VIPCCK_SD 
,EPv,"Endopiriform nucleus, ventral part",46900,343.53,77.05,367.69,59.89,9454.55,500.58,10545.18,698.58,591.3,77.32,550.24,45.65,566.87,128.82,229.27,61.04,136.14,69.05,34.72,15.45
LA,LA,Lateral amygdalar nucleus,47000,1104.91,170.95,1014.63,289.95,3281.6,341.77,3360.18,288.71,1598.24,107.62,1577.54,118.05,589.25,102.19,136.76,69.4,403.29,179.98,75.26,6.37
BLA,BLA,Basolateral amygdalar nucleus,47100,1176.61,194.89,1290.77,194.29,5951.1,402.63,6207.57,332.7,1929.97,177.09,1961.17,165.8,914.19,191.3,140.76,43.62,287.09,144.95,59.72,9.5
,BLAa,"Basolateral amygdalar nucleus, anterior part",47200,1123.59,216.21,1225.72,150.89,5508.01,464.68,5775.78,438.07,1829.56,190.82,1870.35,167.53,1095.99,248.03,115.42,42.26,290.09,141.42,72.33,10.53
,BLAp,"Basolateral amygdalar nucleus, posterior part",47300,1627.35,217.79,1769.22,340.48,6118.13,441.86,6431.22,303.77,2374.38,190.81,2450.38,158.24,579.51,110.63,163.29,50.01,291.67,162.45,41.69,10.48
,BLAv,"Basolateral amygdalar nucleus, ventral part",47400,521.91,101.47,630.37,175.95,7221.91,312.2,7320.92,248.64,1443.65,134.55,1354.7,233.6,899.41,170.8,187.69,52.63,267.66,127.54,49.45,14.86
BMA,BMA,Basomedial amygdalar nucleus,47500,404.39,70.12,521.61,110.7,11268.96,306.01,11597.25,560.89,1100.77,143.95,1121.9,79.11,1329.87,187.04,121.76,39.64,201.04,92.7,27.35,4.65
,BMAa,"Basomedial amygdalar nucleus, anterior part",47600,102.31,24.2,108.47,18.04,15994.66,593.21,17131.19,987,283.32,52.18,247.77,14.3,1313.74,148.94,166.7,75.49,46.76,32.28,8.98,2.56
,BMAp,"Basomedial amygdalar nucleus, posterior part",47700,522.19,89.06,683.75,157.09,9493.35,211.32,9535.41,489.37,1401.71,185.09,1444.02,108.72,1336.17,230.13,105.22,30.16,258.81,121.56,34.05,5.69
,PA,Posterior amygdalar nucleus,47800,1237.89,66.15,1571.58,342.01,13036.14,1441.27,14006.95,595.02,3094.74,237.39,3357.77,291.42,637.22,110.46,69.07,31.81,319.51,171.77,21.9,9.8
,CNU,Cerebral nuclei,47900,608.39,111.24,635.28,150.54,5941.36,400.49,6428.94,368.71,60.33,6.26,63.88,7.69,267.8,44.45,301.07,92.24,7.92,2.39,2.18,0.32
,STR,Striatum,48000,370.98,69.57,399.54,104.01,5867.34,340.53,6313.99,330.73,64.21,7.66,68.09,7.58,261.4,40.5,335.58,96.62,9,3.01,2.47,0.39
,STRd,Striatum dorsal region,48100,451.39,86.68,473.83,132.92,2398.41,180.39,2652.91,172.11,22.22,3.38,23.28,4.27,15.38,4.21,383.63,98.92,3.13,0.59,0.99,0.13
BCd;HCd;TCd;Pu,CP,Caudoputamen,48200,451.39,86.68,473.83,132.92,2398.41,180.39,2652.91,172.11,22.22,3.38,23.28,4.27,15.38,4.21,383.63,98.92,3.13,0.59,0.99,0.13
Acb,STRv,Striatum ventral region,48300,246.06,59.5,271.07,67.66,6504.97,381.54,6973.09,359.54,92.57,8.05,92.25,7.46,95.04,23,407.85,138.45,13.31,3.77,3.75,1.74
,ACBcr,"Nucleus accumbens, core",48400,120.01,51.41,139.11,48.79,8617.96,396.81,9162.14,349.45,50.26,8.12,45.49,11.74,80.47,16.99,471.13,156.14,8.1,2.3,1.89,0.92
,ACBsh,"Nucleus accumbens, shell",48400,219.73,75.45,257.4,87.79,6151.54,780.11,6482.45,474.11,60.08,8.23,60.48,10.31,111.56,29.05,469.57,146.7,8.67,4.66,0.81,0.59
,FS,Fundus of striatum,48500,352.98,81.69,423.47,172.6,12959.91,728.83,13827.02,1117.9,177.18,42.98,164.39,21.52,209.24,76.96,688.61,258.15,15.09,10.17,8.39,6.47
,OT,Olfactory tubercle,48600,338.96,57.67,351.28,55.41,4418.5,232.11,4874.78,257.67,139.57,19.18,143.97,13.99,76.15,27.7,272,109.82,20.74,5.16,7.01,4.33
,OT1,"Olfactory tubercle, molecular layer",49000,118.9,39.63,114.59,31.15,2433.36,118.39,2646.89,375.46,63.33,12.8,78.6,17.95,40.36,14.77,30.06,17.39,12.75,4.31,7.83,8.2
,OT2,"Olfactory tubercle, pyramidal layer",49100,383.25,56.39,386.08,74.91,4967,260.22,5319.42,200.71,164.6,32.26,159.68,12.43,76.74,34.1,228.33,100.39,27.61,6.47,8.26,2.81
,OT3,"Olfactory tubercle, polymorph layer",49200,589.58,113.39,639.05,123.55,6427.61,382.47,7293.1,454.29,210.89,19.9,208.45,26.14,117.12,40.99,650.79,279.82,24.52,10.56,3.12,0.22
,LSX,Lateral septal complex,49300,219.07,46.99,220.18,63.07,16255.02,924.3,17734.11,1389.43,55.37,6.25,64.47,18.01,664.97,211.28,30.99,8.38,10.05,4.93,1.22,0.58
,LS,Lateral septal nucleus,49400,209.03,45.23,214.48,63.6,17684.46,952.85,19381.4,1428.04,54.73,5.79,63.69,17.33,739.51,233.73,28.81,14.24,8.7,3.85,1.12,0.64
,LSc,"Lateral septal nucleus, caudal (caudodorsal) part",49500,184.17,43.69,199.97,48.28,16794.47,2051.5,18426.56,1698.56,82.41,14.29,74.72,13.96,1342.27,576.77,13.2,7.2,9.6,5.48,0.92,0.8
,LSr,"Lateral septal nucleus, rostral (rostroventral) part",49600,222.31,47.75,223.23,72.79,18268.67,962.6,19921.21,1385.91,43.69,8.07,60.23,19.56,491.63,95.32,36.81,19.74,8.71,4.26,1.26,1.3
,LSv,"Lateral septal nucleus, ventral part",49700,166.62,82.69,172.95,61.09,14904.26,1443.11,18152.74,1716.29,2.92,6.54,21.8,23.68,232.36,88.18,9.94,17.22,0,0,0,0
,SF,Septofimbrial nucleus,49800,0,0,241.92,72.2,5833.15,1227.55,6028.25,1072.73,25.16,8.12,29.45,11.79,197.11,88.73,56.74,98.28,6.19,12.38,0,0
,SH,Septohippocampal nucleus,49900,426.81,74.07,312.25,119.16,13194.27,1099.98,13537.98,1551.21,194.94,47.46,234.68,80.57,136.86,106.02,4.98,8.63,68.18,17.69,9.2,7.97
,sAMY,Striatum0like amygdalar nuclei,50000,280.13,36.48,370.02,58.63,16122.7,840,17237.62,641.87,264.69,39.75,292.39,34.81,1637.96,180.53,158.93,81.82,31.72,17.87,9.19,2.26
,AAA,Anterior amygdalar area,50100,276.82,93.47,299.52,119.39,12917.31,1081.51,14432.76,849.36,158.09,22.43,172.19,23.83,378.56,67.34,174.61,78.36,15.25,6.2,8.67,5.04
,BA,Bed nucleus of the accessory olfactory tract,50200,54.76,42.24,59.71,42.85,6095.21,818.71,6820.27,670.35,341.49,152.91,391,94.48,599.52,66.96,51.93,56.44,22.25,25.73,0,0
CeA,CEA,Central amygdalar nucleus,50300,110.24,35.01,128.61,37.39,23826.97,978.83,24858.23,865.26,145.15,32.52,160.47,22.75,1828.23,181.34,231.83,137.41,11.32,8.8,4.32,1.52
,CEAc,"Central amygdalar nucleus, capsular part",50400,61.68,26.7,88.51,25.2,21368.43,1395.04,20808,1211.1,160.55,36.93,184.79,50.47,1863.6,147.71,200.73,109.49,11.92,9.4,5.81,2.81
,CEAl,"Central amygdalar nucleus, lateral part",50500,149.19,70.31,180.53,27.36,28002.72,1664.06,28456.61,866.88,302.54,53.75,313.78,44.54,1524.06,461.44,389.87,214.48,30.58,28.65,4.19,7.26
,CEAm,"Central amygdalar nucleus, medial part",50600,140.19,62.59,146.64,66.22,24561.97,1662.65,27200.6,1561.44,74.88,22.98,84.12,12.28,1902.81,200.72,204.3,140.65,4.07,2.87,3.01,1.36
,IA,Intercalated amygdalar nucleus,50700,158.27,25.82,204.73,92.76,11552.22,552.04,11617.63,433.12,383.66,117.25,366.92,81.6,991.77,164.09,177.49,67.11,73.76,18.95,7.35,3.42
,MEA,Medial amygdalar nucleus,50800,307.69,51.27,465.31,53.97,13833.97,805.18,15156.75,611.98,380.61,45.76,418.98,56.62,2272.04,262.99,96.34,53,47.42,29.33,13.78,5.37
,MEAad,"Medial amygdalar nucleus, anterodorsal part",50900,116.45,35.34,112.21,45.59,13058.97,708.41,15045.17,444.96,86.26,31.76,107.56,16.36,1903.84,206.91,51.22,31.48,5.52,5.31,1.77,1.74
,MEAav,"Medial amygdalar nucleus, anteroventral part",51000,60.29,32.32,80.44,48.18,13086.97,700.06,14717.82,679.78,113.05,27.82,106.57,27.73,2506.03,307.47,32.33,27.22,16.7,18.38,8.27,3.67
,MEApd,"Medial amygdalar nucleus, posterodorsal part",51100,875.52,160.88,1512.21,158.05,17731.15,1875.69,17378.53,1451.64,701.57,73.34,789.51,229.86,3024.05,459.06,253.33,125.81,52.35,34.99,8.87,5.14
,MEApd0a,"Medial amygdalar nucleus, posterodorsal part, sublayer a",51200,924.48,200.7,2180.3,324.23,20805.08,2368.38,21503.95,1985.23,562.4,77.24,714.63,263.23,2918.67,430.23,406.15,152.71,37.56,25.84,4.67,8.09
,MEApd0b,"Medial amygdalar nucleus, posterodorsal part, sublayer b",51300,580.86,162.26,818.14,125.62,17839.62,1709.43,16530.68,1319.07,859.13,92.52,867.52,213.17,3156.27,350.68,194.32,183.36,59.25,35.23,10.65,10.47
,MEApd0c,"Medial amygdalar nucleus, posterodorsal part, sublayer c",51400,1072.48,226.16,1170.09,152.11,13210.23,1420.97,12235.76,1202.32,753.58,136.38,824.4,243.98,3055.63,650.27,87.72,42.74,67.62,53.63,13.26,5.6
,MEApv,"Medial amygdalar nucleus, posteroventral part",51500,361.09,64.74,313.93,196.59,5264.67,747.95,7788.65,1139.19,2372.5,306.59,2533.14,192.17,675.89,344.05,8.97,15.54,476.39,314.15,149.37,109.67
,PAL,Pallidum,51600,1696.75,310.19,1717.73,388.11,6290.47,727.31,6974.54,606.51,41.84,3.2,43.87,10.48,297.01,62.88,141.99,74.12,3.03,0.85,0.84,0.33
,PALd,"Pallidum, dorsal region",51700,4516.92,738.09,4356.41,794.31,1254.73,432.94,1437.81,256.73,5.28,1.46,5.13,1.63,12.17,5.89,66.08,38.8,0.65,0.92,0.4,0.7
GPe,GPe,"Globus pallidus, external segment",51800,4909.5,776.92,4733.63,817.77,1029.13,284.79,1030.83,168.84,5.41,1.89,5.71,1.76,9.77,4.52,77.61,45.76,0.77,1.08,0.48,0.83
GPi,GPi,"Globus pallidus, internal segment",51900,2358.39,585.43,2269.13,678.04,2512.73,1311.77,3735.23,920.24,4.52,3.14,1.85,2.53,25.48,16.24,2.86,2.5,0,0,0,0
,PALv,"Pallidum, ventral region",52000,933.79,229.46,1006.23,293.53,4930.87,726.96,5658.15,543.17,41.39,5.82,41.49,11.32,126.6,50.45,260.01,129.83,3.98,0.86,1.02,0.26
,SI,Substantia innominata,52100,903.09,208.24,968.46,277.9,4312,558.31,4881.2,415.65,41.93,6.99,41.9,12.34,115.81,41.08,270.31,133.67,3.88,0.92,1.13,0.29
,MA,Magnocellular nucleus,52200,1196.49,444.54,1327.44,471.02,10293.17,2251.13,12536.65,1717.84,36.63,7,37.74,12.89,221.38,135.23,169.99,96.55,4.87,1.95,0,0
,PALm,"Pallidum, medial region",52300,1043.16,305.51,1110.82,481.32,8615.2,1490.11,9942.64,1305.5,38.63,10.84,38.02,9.06,168.96,89.84,30.24,18.63,2.03,1.12,0.29,0.5
,MSC,Medial septal complex,52400,1102.42,343.03,1190.17,555.4,9600.08,1581.13,11182.88,1387.37,44.05,12.02,42.89,10.44,182.8,100.66,33.9,23.32,2.08,1.45,0.34,0.58
,MS,Medial septal nucleus,52500,1301.35,346.36,1244.34,646.23,7909.22,956.71,9202.88,1278.23,15.68,8.73,19.65,8.06,148.6,76.58,18.96,15.9,1.33,1.54,0,0
,NDB,Diagonal band nucleus,52600,968.76,347.29,1154.18,516.05,10765.2,2043.07,12548.96,1595.38,63.4,21.08,58.96,13.6,205.84,117.66,43.69,28.83,2.59,3.03,0.56,0.98
,TRS,Triangular nucleus of septum,52700,0,0,625.37,200.87,3445.61,1152.12,3311.98,934.57,7.91,5.62,11.31,7.73,84.2,65.04,6.83,11.83,1.7,3.4,0,0
,PALc,"Pallidum, caudal region",52800,184.83,27.57,250.58,78.06,13438.82,479.77,14248.72,642.02,94.55,10.32,104.79,26.86,1133.23,147.28,96.9,57.5,5.13,3.07,1.53,0.08
,BST,Bed nuclei of the stria terminalis,52900,177.03,30.26,248.2,77,13554.34,486.62,14350.04,645.95,89.65,7.55,97.72,24.67,1141.43,148.4,95.93,56,3.14,1.58,1.28,0.42
,BSTa,"Bed nuclei of the stria terminalis, anterior division",53000,68.55,19.78,82.16,43.78,12465.54,440.44,12905.35,488.66,120.94,15.09,134.39,31.62,735.37,100.48,127.36,62.02,4.3,2.09,0.49,0.84
,BSTal,"Bed nuclei of the stria terminalis, anterior division, anterolateral area",53100,64.46,36.81,55.39,48.06,17192.06,681.1,18287.71,436.19,115.3,17.95,101.33,23.39,859.38,200.24,252.61,128.4,3.92,2.62,0,0
,BSTam,"Bed nuclei of the stria terminalis, anterior division, anteromedial area",53200,53.02,17.28,71.49,48.99,9606.1,961.55,10683.3,960.01,150.12,59.37,159.46,21.19,330.25,79.81,59.59,30.04,3.76,7.51,0,0
,BSTdm,"Bed nuclei of the stria terminalis, anterior division, dorsomedial nucleus",53300,44.08,52.22,72.99,43.04,4973.53,1913.29,3806.33,477.5,14.39,19.72,75.05,63.66,450.26,182.84,10.56,18.29,0,0,0,0
,BSTfu,"Bed nuclei of the stria terminalis, anterior division, fusiform nucleus",53400,80.58,71.12,254.72,171.67,5022.58,528.16,6329.07,1791.99,181.79,67.09,217.73,199.73,207,55.92,22.59,39.12,0,0,0,0
,BSTju,"Bed nuclei of the stria terminalis, anterior division, juxtacapsular nucleus",53500,18.63,41.67,19.89,44.48,27292.14,1707.18,24774.42,4242.63,167.28,191.65,120.44,83.39,744.92,415.5,295.66,370.05,0,0,0,0
,BSTmg,"Bed nuclei of the stria terminalis, anterior division, magnocellular nucleus",53600,12.89,19.21,39.77,28.12,2621.14,489.82,2153.93,451.66,19.19,26.28,101.49,113.66,42.35,14.98,0,0,0,0,0,0
,BSTov,"Bed nuclei of the stria terminalis, anterior division, oval nucleus",53700,337.63,106.58,364.65,245.51,17829.32,2008.1,15047.1,1812.79,195.05,92.76,199.6,113.9,2379.28,412.34,244.79,110.32,5.16,10.32,6.64,11.5
,BSTrh,"Bed nuclei of the stria terminalis, anterior division, rhomboid nucleus",53800,5.36,11.99,0,0,29346.97,2019.08,31168.13,2033.41,171.89,49.05,259.32,80.06,2801.24,1161.11,148.83,65.4,21.12,27.46,0,0
,BSTv,"Bed nuclei of the stria terminalis, anterior division, ventral nucleus",53900,22.01,20.09,38.71,19.92,1453.81,207.01,1488.54,169.89,49.19,11.57,56.96,60.81,18.57,14.49,11.9,10.31,4.41,8.82,0,0
,BSTp,"Bed nuclei of the stria terminalis, posterior division",54000,304.41,55.43,441.89,116.47,14828.21,620.66,16027.73,866.98,52.77,13.63,54.4,21.07,1619.52,217.36,58.59,49.4,1.79,2.07,2.22,0.83
,BSTd,"Bed nuclei of the stria terminalis, posterior division, dorsal nucleus",54100,0,0,392.67,878.04,9918.95,1829.63,13423.53,3715.85,0,0,0,0,85.37,170.73,0,0,0,0,0,0
,BSTpr,"Bed nuclei of the stria terminalis, posterior division, principal nucleus",54200,109.11,44.3,146.11,52.3,19519.85,560.04,21338.26,915.35,63.34,19.08,75.21,28.76,2066.43,230.27,40.81,33.53,2.56,3.22,3.17,3.07
,BSTif,"Bed nuclei of the stria terminalis, posterior division, interfascicular nucleus",54300,170.39,24.45,228.06,50.54,9548.77,1036.79,10209.12,1069,41.86,10.04,32.93,16.8,1157.21,212.53,71.24,62.45,1.21,2.43,1.55,2.69
,BSTtr,"Bed nuclei of the stria terminalis, posterior division, transverse nucleus",54400,5.88,13.14,6.49,14.51,11360.19,1535.1,12332.49,1161.94,6.41,14.33,18.88,28.16,1551.76,337.44,85.79,123.23,0,0,0,0
,BSTse,"Bed nuclei of the stria terminalis, posterior division, strial extension",54500,4486.67,878.46,6567.96,2263.74,8396.38,1900.12,6857.42,1010.86,92.63,91.58,46.35,66.66,525.1,387.81,129.67,72.69,0,0,0,0
,BAC,Bed nucleus of the anterior commissure,54600,971.78,287.77,484.46,258.29,1722.81,744.94,3998.82,1373.66,592.35,346.76,830.05,416.65,267.6,257.16,197.51,214.24,210.34,258.42,27.65,47.88
,CB,Cerebellum,54700,31055.89,2186.71,29856.58,1959.05,894.75,158.4,1022.41,183.94,79.82,33.8,123.16,53.74,420.76,211.83,1.74,1.18,0.09,0.06,0.26,0.33
,CBX,Cerebellar cortex,54800,35696.54,2367.87,34297.57,1969.95,977.81,160.29,1104.21,188.47,82.71,32.59,122.73,45.93,450.58,229.51,1.9,1.19,0.09,0.06,0.29,0.36
,VERM,Vermal regions,54900,36912.41,1749.48,35600.04,1726.25,1191.21,276.17,1331.48,249.57,125.88,51.66,176.9,56.27,333.64,167.49,2.46,1.89,0.11,0.09,0.12,0.08
,LING,Lingula (I),55000,31589.54,3564.08,29844.58,4480.22,608.37,305.74,968.47,478.06,90.18,96.9,164.11,178.85,575.17,406.06,0,0,0,0,0,0
,LINGmo,"Lingula (I), molecular layer",55100,35912.35,4609.96,34010.86,4775.41,532.37,307.21,812.2,451.52,48.47,40.89,60.38,54.38,576.84,424.91,0,0,0,0,0,0
,LINGgr,"Lingula (I), granular layer",55300,26114.78,3058.53,24657.12,7763.4,705.43,318.98,1169.68,565.64,142.47,173.55,297.91,350.36,572.38,386.61,0,0,0,0,0,0
,CENT,Central lobule,55400,37391.7,1440.01,36616.49,1708.13,1413.02,442.34,1565.41,430.92,122.19,47.98,192.85,45.27,540.02,251.79,4.61,4.24,0.14,0.27,0.09,0.16
,CENT2,Lobule II,55500,36859.2,1306.48,35774.2,2441.41,1070.85,169.44,1232.94,120.95,109.96,63.44,150.64,60.54,1091.25,619.29,2.61,1.97,0,0,0,0
,CENT2mo,"Lobule II, molecular layer",55600,47427.13,2151.41,46423.74,3453.78,720.59,202,792.91,180.46,40.19,24.24,83.79,62.66,561.67,340.93,0.5,0.86,0,0,0,0
,CENT2gr,"Lobule II, granular layer",55800,25268.12,1065.74,24028.18,2292.05,1458.29,144.81,1718.22,217.94,184.61,108.4,224.22,65.1,1673.75,951.86,4.93,3.31,0,0,0,0
,CENT3,Lobule III,55900,37676.04,1622.88,37063.76,1506.18,1600.8,590.29,1742.1,624.63,128.86,56.2,215.97,41.95,248,58.84,5.66,5.43,0.21,0.42,0.14,0.24
,CENT3mo,"Lobule III, molecular layer",56000,46555.72,2248.82,45039.61,1842.01,2188.47,868.75,2408.73,1238.65,104.23,48.75,156.02,70.23,167.5,23.5,3.45,3.09,0.44,0.88,0.29,0.5
,CENT3gr,"Lobule III, Purkinje layer",56200,29461.47,1845.55,29683.22,1791.01,1058.77,344.37,1127.09,194.88,151.45,78.7,271.6,79.82,322.46,95.18,7.71,7.61,0,0,0,0
,CUL,Culmen,56300,36917.44,1464.68,35545.87,1146.79,1035.05,352.49,1111.32,248.41,130.08,53.5,187.23,58.68,157.82,48.73,1.77,1.35,0.09,0.11,0.18,0.18
,"CUL4, 5",Lobules IV0V,57200,36917.44,1464.68,35545.87,1146.79,1035.05,352.49,1111.32,248.41,130.08,53.5,187.23,58.68,157.82,48.73,1.77,1.35,0.09,0.11,0.18,0.18
,"CUL4, 5mo","Lobules IV0V, molecular layer",57300,44468.78,2597.04,41938.21,637.74,1339.75,453.53,1439.75,373.56,109.61,45.89,160.46,33.64,169.57,50.49,2.53,1.44,0.18,0.2,0.34,0.34
,"CUL4, 5gr","Lobules IV0V, granular layer",57500,28281.63,651.37,28209.08,1820.01,685.98,246.68,736.78,124.77,153.59,67.7,217.96,96.01,144.52,47.78,0.91,1.25,0,0,0,0
,DEC,Declive (VI),57600,33102.2,1445.52,31854.51,1514.48,1133.93,126.33,1327.44,216.39,206.51,97.25,213.25,102.45,646.1,581.49,0.78,0.71,0.12,0.25,0.16,0.27
,DECmo,"Declive (VI), molecular layer",57700,41711.73,2427,39773.17,1223.78,866.73,131.92,941.7,62.3,205.26,90.63,189.46,53.43,488.55,404.19,0.62,0.54,0,0,0,0
,DECgr,"Declive (VI), granular layer",57900,24349.3,1026.58,23805.32,2255.6,1405.59,194.1,1719.26,387.73,207.91,146.56,237.43,167.74,806.06,768.86,0.95,0.94,0.25,0.5,0.32,0.55
,FOTU,Folium0tuber vermis (VII),58000,44490.53,2770.24,42502.44,2097.31,1491.16,311.31,1666.2,306.96,17.75,14.46,30.52,34.28,835.24,868.78,0,0,0,0,0,0
,FOTUmo,"Folium0tuber vermis (VII), molecular layer",58100,51315.42,2799.46,48894.38,1862.93,1150.76,384.23,1383.33,369.15,15.91,9.09,15.31,24.54,406.2,375,0,0,0,0,0,0
,FOTUgr,"Folium0tuber vermis (VII), granular layer",58300,37961.73,3578.54,36332.4,2332.12,1810.22,390.3,1939.54,319.26,19.21,24.55,44.95,63.64,1245.85,1349.73,0,0,0,0,0,0
,PYR,Pyramus (VIII),58400,42254.72,4114.09,37505.43,5945.07,1639.98,313.12,1749.77,280.17,79.43,50,99.54,78.57,224.34,202.26,9,3.11,0,0,0,0
,PYRmo,"Pyramus (VIII), molecular layer",58500,37209.57,4276.91,33550.02,4604.44,1937.17,218.02,2099.47,239.57,76.65,39.2,112.46,88.36,96.45,96.19,0,0,0,0,0,0
,PYRgr,"Pyramus (VIII), granular layer",58700,45978.2,4784.67,40364.26,7783.14,1413.72,397.55,1490.79,361.67,81.73,66.78,89.87,80.22,316.97,285.11,15.61,5.31,0,0,0,0
,UVU,Uvula (IX),58800,44704.73,4552.09,42551.87,3545.51,1425.16,121.81,1636.82,177.75,34.33,12.99,55.19,22.89,98.91,66.65,2.59,3.19,0.23,0.45,0,0
,UVUmo,"Uvula (IX), molecular layer",58900,48365.82,4284.43,47205.79,3670.63,905.88,89.97,1035.41,198.11,16.11,7.37,25.97,12.7,51.01,35.59,3.66,3.77,0.48,0.96,0,0
,UVUgr,"Uvula (IX), granular layer",59100,41456.8,5112.77,38359.38,3482.87,1903.07,214.08,2182.65,211.09,50.95,21.15,82.01,32.94,142.31,99.94,1.65,2.85,0,0,0,0
,NOD,Nodulus (X),59200,31144.84,4007.77,30168,2708.45,892.71,157.74,1179.46,264.64,99.52,50.45,185.38,130.18,69.33,46.22,0,0,0,0,0,0
,NODmo,"Nodulus (X), molecular layer",59300,38824.78,6050.15,38088.77,4677.21,723.1,202.97,1048.1,376.19,55.09,31.19,123.8,137.06,61.37,36.07,0,0,0,0,0,0
,NODgr,"Nodulus (X), granular layer",59500,23707.75,3409.16,22532.86,1475.33,1057.45,152.27,1306.48,171.57,143.28,78.9,245.62,176.68,77.09,57.68,0,0,0,0,0,0
,HEM,Hemispheric regions,59600,34890.76,3083.89,33454.98,2606.44,839.12,102.04,954.13,152.12,55.31,21.24,88.01,39.81,531.02,294.23,1.51,1.1,0.08,0.1,0.4,0.53
,SIM,Simple lobule,59700,36852.71,1582.01,35146.74,1057.56,659.49,133.52,761.49,136.37,113.22,36.59,182.84,72.25,225.63,109.39,1.22,0.73,0.11,0.13,0.2,0.19
,SIMmo,"Simple lobule, molecular layer",59800,44702.47,2343.9,41648.95,679.05,751.39,193.57,888.99,192.04,45.09,13.4,64.11,14.52,130.71,61.42,1.74,1.15,0.1,0.2,0.11,0.2
,SIMgr,"Simple lobule, granular layer",60000,27141.87,1555.37,27072.66,1849.54,544.82,88.38,602.82,77.06,197.47,67.28,330.14,147.56,343.78,172.12,0.59,0.66,0.12,0.25,0.3,0.26
,AN,Ansiform lobule,60100,36395.67,919.39,34644.42,1533.7,949.58,80.1,1109.11,106.15,54.54,24.98,81.33,43.78,462.08,226.1,1.02,0.76,0,0,0.8,1.26
,ANcr1,Crus 1,60200,32337.92,753.62,30961.28,1255.11,1147.32,36.07,1360.69,129.45,68.28,36.54,116.43,66.93,615.27,310.15,0.64,0.55,0,0,0.11,0.19
,ANcr1mo,"Crus 1, molecular layer",60300,38927.07,2048.11,37542.56,1910,990.91,115.49,1274.69,137.49,54.77,27.92,86.36,40.18,315.45,207.68,1.16,0.51,0,0,0.3,0.53
,ANcr1gr,"Crus 1, granular layer",60500,28565.58,1000.34,27182.36,2297.91,1237.94,51.47,1410.79,174.37,76.12,45.8,133.82,84.22,788.32,383.59,0.33,0.58,0,0,0,0
,ANcr2,Crus 2,60600,39258.02,1173.65,37239.86,1740.65,809.27,110.45,930.48,97.48,44.64,17.22,56.32,27.48,353.58,168.25,1.29,1.17,0,0,1.29,2.24
,ANcr2mo,"Crus 2, molecular layer",60700,45860.33,2150.05,42892.04,1284.68,766.02,73.32,859.09,100.03,31.1,11.93,29.25,9,254.54,184.09,1.67,2.4,0,0,2.11,3.65
,ANcr2gr,"Crus 2, granular layer",60900,35264.1,1269.22,33831.12,2004.49,835.45,166.04,973.92,121.25,52.85,22.45,72.7,43.16,413.77,176.67,1.06,1.08,0,0,0.8,1.39
,PRM,Paramedian lobule,61000,34065.67,1301.39,32920.86,1181.46,817.31,84.45,965.54,107.98,40.9,19.95,75.3,47.79,320.3,286.48,0.32,0.56,0,0,0.17,0.3
,PRMmo,"Paramedian lobule, molecular layer",61100,43095.75,2991.73,40832.58,1079.73,637.82,107.8,781.01,100.69,14.41,6.6,27.13,9.67,180.1,157.91,0.37,0.65,0,0,0.4,0.69
,PRMgr,"Paramedian lobule, granular layer",61300,27241.37,811.06,26920.57,2254.99,952.09,108.91,1104,135.57,60.78,33.74,111.15,78.73,425.81,385.12,0.28,0.49,0,0,0,0
,COPY,Copula pyramidis,61400,41852.15,3280.25,39899.43,3088.35,812.17,113.34,906.16,113.67,22.87,11.75,28.78,8.49,185.69,131.43,2.12,2.71,0,0,0.55,0.95
,COPYmo,"Copula pyramidis, molecular layer",61500,43764.49,2707.97,41973.51,3085.4,556.29,139.96,674.19,101.36,10.59,8.03,9.98,4.75,122.61,101.35,1.02,0.89,0,0,0,0
,COPYpu,"Copula pyramidis, Purkinje layer",61600,55964.29,4299.83,48000,22248.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,COPYgr,"Copula pyramidis, granular layer",61700,40682.28,3671.43,38635.19,3185.59,964.92,104.95,1045.22,130.48,30.11,20.87,39.94,11.54,223,153.31,2.77,4.04,0,0,0.87,1.5
,PFL,Paraflocculus,61800,25932.97,11053.04,25042.36,10740.43,817.26,157.58,815.68,402.98,13.75,9.53,25.1,13.01,1527.16,1033.18,3.65,2.87,0.09,0.18,0.11,0.19
,PFLmo,"Paraflocculus, molecular layer",61900,26063.16,9556.55,25312.28,9480.39,583.57,191.55,586.97,271.6,8.1,6.89,15.53,7.54,780.83,523.35,2.26,2.51,0,0,0,0
,PFLgr,"Paraflocculus, granular layer",62100,25852.91,11919.64,24897.76,11476.84,943.94,140.73,939.66,477.2,16.83,11.06,30.28,16.07,1927.8,1308.34,4.41,3.5,0.14,0.28,0.17,0.29
,FL,Flocculus,62200,32004.49,8906.56,31850.4,7845.16,949.89,159.68,1072.95,206.47,20.77,10.95,41.06,17.75,475.76,287.73,1.31,1.27,0.39,0.5,0,0
,FLmo,"Flocculus, molecular layer",62300,36390.8,8168.56,38183.6,4882.36,1649.97,318.64,1881.33,241.28,29.65,21.45,69.59,33.9,100.61,74,1.17,1.01,0,0,0,0
